DOB,AGE,INSTAGRAM [SPENT TIME(IN HOURS)],WHATS APP [SPENT TIME(IN HOURS)],LinkedIn [SPENT TIME(IN HOURS)],FACEBOOK [SPENT TIME(IN HOURS)],SNAPCHAT [SPENT TIME(IN HOURS)],TWITTER [SPENT TIME(IN HOURS)],SLEEP DURATION,SCREEN TIME,SEX,SMDY,RBUP,WUSMP,SMNDT,SUSMH,SMISC,RIFF
10-10-2005,18,2,2,1,1,2,2,7,4,Male,NOT DISTRACTED,LinkedIn,Finding Jobs,No,Anxiety,Negative Impact,Negative Impact
03-04-2005,19,3,3,3,2,3,0,8,3,Male,NOT DISTRACTED,Instagram,Making Business,No,Self-conscious,No impact,Negative Impact
22-10-2003,20,4,3,1,3,3,2,7,4,Male,NOT DISTRACTED,whatsapp,Information sharing,No,Anxiety,Negative Impact,Positive Impact
27-11-2003,20,2,2,1,2,2,1,7,4,Male,NOT DISTRACTED,LinkedIn,Learning,No,Self-conscious,No impact,Positive Impact
10-10-2005,18,3,2,2,3,3,1,7,4,Male,NOT DISTRACTED,Instagram,Making Business,No,Demotivate,Negative Impact,Negative Impact
10-10-2000,23,1,2,2,3,3,2,7,4,Male,NOT DISTRACTED,facebook,Sharing Content,Yes,Lazy,No impact,Negative Impact
23-10-2002,21,2,3,0,2,2,3,7,2,Male,NOT DISTRACTED,twitter,Enterntainment,Yes,Lonliness,No impact,Positive Impact
15-08-2004,19,3,3,0,3,3,0,7,3,Male,NOT DISTRACTED,snapchat,Enterntainment,Yes,Inspired,Positive impact,Positive Impact
19-08-2006,17,3,1,1,1,1,0,7,3,Male,SOMETIMES DISTRACTED,snapchat,Enterntainment,No,Self-conscious,No impact,Negative Impact
23-09-2006,17,4,3,3,3,3,0,8,3,Male,SOMETIMES DISTRACTED,Instagram,Making Business,No,Demotivate,No impact,Negative Impact
15-01-2002,22,3,3,4,3,3,1,7,4,Female,SOMETIMES DISTRACTED,Instagram,Making Business,Yes,Anxiety,Negative Impact,No change
08-12-2001,22,2,4,2,4,4,1,7,4,Female,SOMETIMES DISTRACTED,facebook,Making Business,No,Self-conscious,Negative Impact,No change
04-07-2004,19,4,4,3,4,4,2,7,4,Male,SOMETIMES DISTRACTED,LinkedIn,Finding Jobs,No,Demotivate,No impact,No change
05-07-2023,17,2,1,1,3,2,2,7,3,Male,SOMETIMES DISTRACTED,snapchat,Enterntainment,Yes,Lazy,Positive impact,Positive Impact
06-07-2023,22,3,1,4,4,4,1,7,4,Male,SOMETIMES DISTRACTED,snapchat,Enterntainment,Yes,Lonliness,Positive impact,Negative Impact
07-07-2023,21,3,1,2,2,2,0,7,3,Female,SOMETIMES DISTRACTED,Instagram,Enterntainment,Yes,Inspired,No impact,Negative Impact
08-07-2023,16,4,2,1,2,2,0,8,3,Male,NOT DISTRACTED,LinkedIn,Learning,Yes,Anxiety,No impact,No change
09-07-2023,18,3,4,3,1,4,0,9,4,Male,ALWAYS DISTRACTED,Instagram,Making Business,Yes,Lonliness,Positive impact,Positive Impact
10-07-2023,21,3,3,3,4,3,2,7,4,Female,NOT DISTRACTED,whatsapp,Enterntainment,Yes,Self-conscious,Positive impact,Negative Impact
11-07-2023,17,3,3,2,3,3,2,7,4,Female,NOT DISTRACTED,LinkedIn,Learning,Yes,Inspired,Positive impact,No change
12-07-2023,16,2,2,2,2,2,1,7,4,Male,NOT DISTRACTED,Instagram,Enterntainment,Yes,Demotivate,No impact,Positive Impact
13-07-2023,21,3,3,3,3,3,4,8,3,Female,SOMETIMES DISTRACTED,facebook,Making Business,Yes,Self-conscious,No impact,Negative Impact
14-07-2023,16,2,2,4,2,2,1,7,3,Male,NOT DISTRACTED,twitter,Information sharing,No,Demotivate,No impact,Negative Impact
15-07-2023,22,4,4,2,4,4,1,5,4,Female,ALWAYS DISTRACTED,snapchat,Enterntainment,Yes,Lazy,Negative Impact,No change
16-07-2023,17,4,4,1,4,4,0,7,4,Male,SOMETIMES DISTRACTED,snapchat,content sharing,Yes,Lonliness,Positive impact,Positive Impact
17-07-2023,18,4,4,3,4,4,0,8,4,Female,NOT DISTRACTED,Instagram,Enterntainment,Yes,Inspired,No impact,Negative Impact
18-07-2023,19,4,4,1,4,4,2,8,4,Female,ALWAYS DISTRACTED,Instagram,Making Business,Yes,Anxiety,Positive impact,No change
19-07-2023,16,3,3,1,2,3,2,7,4,Female,SOMETIMES DISTRACTED,facebook,Making Business,No,Lonliness,No impact,Positive Impact
20-07-2023,20,2,2,2,2,2,1,7,4,Male,NOT DISTRACTED,LinkedIn,Learning,Yes,Self-conscious,Positive impact,Negative Impact
21-07-2023,22,2,2,2,1,2,2,7,2,Male,ALWAYS DISTRACTED,snapchat,Enterntainment,Yes,Inspired,No impact,Negative Impact
22-07-2023,20,2,2,4,4,2,2,7,4,Male,SOMETIMES DISTRACTED,snapchat,Enterntainment,No,Demotivate,Negative Impact,No change
23-07-2023,22,4,4,3,4,4,0,7,4,Male,NOT DISTRACTED,Instagram,Enterntainment,No,Lazy,No impact,Positive Impact
24-07-2023,26,3,3,2,3,3,2,7,3,Female,ALWAYS DISTRACTED,Instagram,Enterntainment,No,Demotivate,Positive impact,Negative Impact
25-07-2023,21,4,4,4,4,4,1,7,4,Female,NOT DISTRACTED,facebook,Making Business,Yes,Anxiety,Negative Impact,No change
26-07-2023,21,2,2,2,2,2,1,7,4,Male,NOT DISTRACTED,LinkedIn,Finding Jobs,Yes,Self-conscious,Negative Impact,Positive Impact
27-07-2023,21,3,3,3,3,3,2,7,4,Male,NOT DISTRACTED,twitter,Information sharing,Yes,Anxiety,Negative Impact,Negative Impact
28-07-2023,22,3,3,3,3,3,3,8,4,Female,NOT DISTRACTED,whatsapp,Quote Sharing,Yes,Self-conscious,No impact,Negative Impact
29-07-2023,56,3,3,1,3,3,0,7,4,Male,SOMETIMES DISTRACTED,whatsapp,Quote Sharing,Yes,Demotivate,No impact,No change
30-07-2023,21,2,2,3,2,2,0,7,2,Male,SOMETIMES DISTRACTED,whatsapp,Quote Sharing,Yes,Lazy,Positive impact,Positive Impact
31-07-2023,22,4,4,1,4,4,0,7,3,Male,NOT DISTRACTED,facebook,content sharing,No,Lonliness,No impact,Negative Impact
01-08-2023,51,2,2,1,2,2,1,7,2,Female,NOT DISTRACTED,LinkedIn,Learning,Yes,Inspired,Positive impact,Negative Impact
02-08-2023,22,1,1,2,1,1,1,7,1,Female,NOT DISTRACTED,snapchat,Enterntainment,No,Self-conscious,No impact,Positive Impact
03-08-2023,28,2,2,2,2,2,2,7,3,Male,SOMETIMES DISTRACTED,snapchat,Enterntainment,Yes,Demotivate,No impact,Positive Impact
04-08-2023,25,1,1,1,1,1,2,7,2,Male,SOMETIMES DISTRACTED,Instagram,Enterntainment,No,Anxiety,No impact,Negative Impact
05-08-2023,27,4,4,4,4,4,1,8,4,Male,NOT DISTRACTED,Instagram,Enterntainment,Yes,Self-conscious,No impact,Negative Impact
06-08-2023,26,3,3,3,3,3,0,7,3,Female,NOT DISTRACTED,facebook,Enterntainment,Yes,Demotivate,Negative Impact,Positive Impact
07-08-2023,50,2,2,2,2,2,0,7,2,Female,SOMETIMES DISTRACTED,LinkedIn,Learning,Yes,Lazy,Positive impact,Positive Impact
08-08-2023,22,2,2,2,2,2,0,7,2,Female,NOT DISTRACTED,twitter,Information sharing,Yes,Lonliness,Positive impact,Negative Impact
09-08-2023,23,3,3,3,3,3,0,7,4,Female,NOT DISTRACTED,whatsapp,Information sharing,No,Inspired,No impact,Negative Impact
10-08-2023,19,2,2,2,2,2,1,7,3,Male,NOT DISTRACTED,whatsapp,Information sharing,Yes,Anxiety,Negative Impact,No change
11-08-2023,21,3,3,3,3,3,1,8,2,Female,NOT DISTRACTED,whatsapp,Information sharing,Yes,Lonliness,Positive impact,No change
12-08-2023,29,2,2,2,2,2,2,7,2,Female,NOT DISTRACTED,LinkedIn,Information sharing,Yes,Self-conscious,Negative Impact,No change
13-08-2023,20,4,4,4,4,4,2,7,4,Male,ALWAYS DISTRACTED,Instagram,Making Business,No,Inspired,Negative Impact,Positive Impact
14-08-2023,53,3,3,3,3,3,1,5,3,Male,NOT DISTRACTED,whatsapp,Information sharing,Yes,Demotivate,Negative Impact,Negative Impact
15-08-2023,27,4,4,1,4,4,0,7,2,Male,ALWAYS DISTRACTED,LinkedIn,Finding Jobs,No,Self-conscious,No impact,Negative Impact
16-08-2023,36,4,4,3,4,4,2,7,4,Female,NOT DISTRACTED,Instagram,Making Business,Yes,Demotivate,Positive impact,No change
17-08-2023,13,2,2,1,2,2,0,7,2,Female,NOT DISTRACTED,facebook,Enterntainment,Yes,Lazy,Positive impact,Positive Impact
18-08-2023,20,3,3,1,3,3,0,5,4,Male,NOT DISTRACTED,twitter,Information sharing,Yes,Lonliness,No impact,Negative Impact
19-08-2023,19,3,3,2,3,3,1,7,4,Female,NOT DISTRACTED,snapchat,Enterntainment,Yes,Inspired,Positive impact,No change
20-08-2023,20,3,3,2,3,3,3,7,3,Female,NOT DISTRACTED,snapchat,making streaks,Yes,Anxiety,Positive impact,Positive Impact
21-08-2023,19,1,1,1,1,1,4,7,3,Male,NOT DISTRACTED,Instagram,content sharing,Yes,Lonliness,No impact,Negative Impact
22-08-2023,23,1,1,1,1,1,2,7,1,Male,SOMETIMES DISTRACTED,Instagram,reels making,No,Self-conscious,No impact,Negative Impact
23-08-2023,23,2,2,2,2,2,3,7,3,Female,NOT DISTRACTED,facebook,Enterntainment,No,Inspired,No impact,No change
24-08-2023,28,4,4,4,4,4,1,7,4,Male,NOT DISTRACTED,LinkedIn,jobs posting,Yes,Demotivate,No impact,Positive Impact
25-08-2023,56,3,3,3,3,3,4,7,2,Female,SOMETIMES DISTRACTED,snapchat,Enterntainment,Yes,Lazy,Positive impact,Negative Impact
26-08-2023,30,3,3,3,3,3,2,7,3,Male,NOT DISTRACTED,snapchat,Enterntainment,Yes,Inspired,Positive impact,No change
27-08-2023,22,4,4,4,4,4,2,8,4,Female,NOT DISTRACTED,Instagram,Enterntainment,Yes,Self-conscious,Positive impact,Positive Impact
28-08-2023,22,3,3,3,3,3,2,7,4,Female,NOT DISTRACTED,facebook,Enterntainment,No,Inspired,No impact,Negative Impact
29-08-2023,19,1,1,1,1,1,1,7,2,Female,SOMETIMES DISTRACTED,Instagram,Enterntainment,Yes,Inspired,No impact,Negative Impact
30-08-2023,39,1,1,1,1,1,0,7,2,Male,ALWAYS DISTRACTED,twitter,Information sharing,Yes,Lonliness,Positive impact,No change
31-08-2023,39,1,1,1,1,1,2,7,2,Female,NOT DISTRACTED,snapchat,streaks making,Yes,Demotivate,Positive impact,Positive Impact
01-09-2023,21,3,3,3,3,3,0,7,3,Male,NOT DISTRACTED,LinkedIn,jobs posting,Yes,Anxiety,Positive impact,Negative Impact
02-09-2023,38,2,2,2,2,2,0,7,2,Male,ALWAYS DISTRACTED,facebook,Making Business,Yes,Inspired,Positive impact,No change
03-09-2023,19,3,3,3,3,3,1,7,3,Female,NOT DISTRACTED,whatsapp,Information sharing,Yes,Lonliness,Positive impact,Positive Impact
04-09-2023,21,4,4,4,4,4,3,7,4,Female,NOT DISTRACTED,whatsapp,Information sharing,No,Self-conscious,No impact,Negative Impact
05-09-2023,22,3,3,3,3,3,4,7,3,Male,NOT DISTRACTED,whatsapp,Information sharing,No,Inspired,No impact,Negative Impact
06-09-2023,18,2,2,2,2,2,2,7,3,Male,SOMETIMES DISTRACTED,LinkedIn,jobs posting,Yes,Demotivate,Positive impact,No change
07-09-2023,27,4,4,4,4,4,3,7,4,Female,ALWAYS DISTRACTED,whatsapp,Information sharing,Yes,Inspired,No impact,Positive Impact
08-09-2023,21,2,2,1,2,2,1,7,4,Female,NOT DISTRACTED,whatsapp,Information sharing,No,Inspired,Positive impact,Negative Impact
09-09-2023,23,3,3,3,3,3,4,7,4,Female,NOT DISTRACTED,Instagram,Making Business,Yes,Lonliness,Positive impact,Negative Impact
10-09-2023,27,2,2,1,2,2,2,7,3,Male,NOT DISTRACTED,Instagram,Enterntainment,Yes,Demotivate,Positive impact,No change
11-09-2023,18,3,3,1,3,3,2,7,3,Female,ALWAYS DISTRACTED,facebook,Enterntainment,No,Anxiety,Negative Impact,No change
12-09-2023,18,2,2,2,2,2,2,7,2,Male,NOT DISTRACTED,whatsapp,Information sharing,No,Inspired,Negative Impact,Negative Impact
13-09-2023,18,2,2,2,2,2,2,7,2,Female,NOT DISTRACTED,whatsapp,Information sharing,No,Lonliness,Negative Impact,Negative Impact
14-09-2023,18,3,3,3,3,3,2,7,3,Female,SOMETIMES DISTRACTED,whatsapp,Information sharing,No,Self-conscious,Positive impact,No change
15-09-2023,24,3,3,3,3,3,1,7,3,Female,NOT DISTRACTED,LinkedIn,Information sharing,No,Inspired,Positive impact,No change
16-09-2023,23,3,3,3,3,3,4,7,4,Female,SOMETIMES DISTRACTED,whatsapp,Information sharing,Yes,Demotivate,No impact,Negative Impact
17-09-2023,22,1,1,1,1,1,1,7,1,Female,NOT DISTRACTED,whatsapp,Information sharing,Yes,Lonliness,No impact,Negative Impact
18-09-2023,21,4,4,4,4,4,1,7,4,Male,NOT DISTRACTED,Instagram,Making Business,Yes,Inspired,Negative Impact,No change
19-09-2023,25,3,3,3,3,3,0,7,2,Female,NOT DISTRACTED,Instagram,Enterntainment,Yes,Self-conscious,Negative Impact,Positive Impact
20-09-2023,23,3,3,3,3,3,0,7,3,Female,NOT DISTRACTED,facebook,Enterntainment,Yes,Demotivate,No impact,Negative Impact
21-09-2023,23,3,3,3,3,3,2,7,2,Female,NOT DISTRACTED,Instagram,Enterntainment,Yes,Anxiety,No impact,Negative Impact
22-09-2023,23,2,2,2,2,2,2,7,3,Female,ALWAYS DISTRACTED,facebook,Enterntainment,No,Self-conscious,Positive impact,No change
23-09-2023,21,2,2,2,2,2,1,7,3,Female,NOT DISTRACTED,Instagram,reels making,Yes,Demotivate,No impact,No change
24-09-2023,25,4,4,4,4,4,2,7,4,Male,ALWAYS DISTRACTED,twitter,Information sharing,Yes,Lazy,Negative Impact,Negative Impact
25-09-2023,23,4,4,4,4,4,2,7,4,Male,ALWAYS DISTRACTED,snapchat,Enterntainment,Yes,Lonliness,Positive impact,Negative Impact
26-09-2023,24,2,2,2,2,2,0,7,2,Female,NOT DISTRACTED,LinkedIn,jobs posting,Yes,Inspired,Positive impact,No change
27-09-2023,23,2,2,2,2,2,2,7,3,Female,SOMETIMES DISTRACTED,facebook,Enterntainment,No,Anxiety,No impact,No change
28-09-2023,25,4,4,4,4,4,1,10,4,Female,NOT DISTRACTED,whatsapp,Information sharing,Yes,Lonliness,Negative Impact,Negative Impact
29-09-2023,51,2,2,2,2,2,1,7,2,Female,NOT DISTRACTED,whatsapp,Information sharing,Yes,Self-conscious,Positive impact,No change
30-09-2023,22,1,1,1,1,1,2,7,2,Male,ALWAYS DISTRACTED,whatsapp,Information sharing,Yes,Inspired,Positive impact,Positive Impact
01-10-2023,32,3,3,3,3,3,3,8,2,Male,NOT DISTRACTED,LinkedIn,jobs posting,Yes,Lonliness,No impact,Negative Impact
02-10-2023,24,4,4,4,4,4,2,5,3,Female,NOT DISTRACTED,whatsapp,Information sharing,Yes,Inspired,Positive impact,No change
03-10-2023,24,2,2,2,2,2,1,7,2,Female,SOMETIMES DISTRACTED,whatsapp,Quote Sharing,Yes,Self-conscious,No impact,Positive Impact
04-10-2023,24,2,2,2,2,2,1,7,2,Male,NOT DISTRACTED,Instagram,content sharing,No,Demotivate,Negative Impact,Negative Impact
05-10-2023,23,4,4,4,4,4,3,7,4,Female,NOT DISTRACTED,Instagram,content sharing,No,Anxiety,Negative Impact,Negative Impact
06-10-2023,16,3,3,3,3,3,3,7,3,Female,NOT DISTRACTED,facebook,content sharing,Yes,Self-conscious,Positive impact,No change
07-10-2023,18,2,2,2,2,2,2,8,2,Male,NOT DISTRACTED,whatsapp,Information sharing,Yes,Demotivate,Positive impact,Positive Impact
08-10-2023,48,4,4,4,4,4,2,7,2,Male,ALWAYS DISTRACTED,whatsapp,Information sharing,Yes,Lazy,Positive impact,Negative Impact
09-10-2023,25,3,3,3,3,3,3,7,2,Male,NOT DISTRACTED,whatsapp,Quote Sharing,Yes,Lonliness,No impact,Negative Impact
10-10-2023,21,3,3,3,3,3,4,5,4,Male,NOT DISTRACTED,LinkedIn,jobs posting,Yes,Inspired,Positive impact,No change
11-10-2023,17,2,2,2,2,2,2,8,4,Female,NOT DISTRACTED,whatsapp,Quote Sharing,Yes,Anxiety,Negative Impact,No change
12-10-2023,16,3,3,3,3,3,2,7,3,Male,NOT DISTRACTED,whatsapp,content sharing,Yes,Lonliness,Negative Impact,Negative Impact
13-10-2023,18,3,3,3,3,3,2,8,3,Male,NOT DISTRACTED,Instagram,content sharing,Yes,Self-conscious,Positive impact,Negative Impact
14-10-2023,22,3,3,3,3,3,2,7,3,Female,SOMETIMES DISTRACTED,Instagram,content sharing,No,Inspired,Positive impact,No change
15-10-2023,24,3,3,3,3,3,1,7,4,Female,NOT DISTRACTED,facebook,Information sharing,Yes,Lazy,Negative Impact,No change
16-10-2023,20,4,4,4,4,4,0,7,4,Female,NOT DISTRACTED,snapchat,Information sharing,Yes,Demotivate,No impact,Negative Impact
17-10-2023,19,1,1,1,1,1,2,7,2,Female,NOT DISTRACTED,twitter,Quote Sharing,Yes,Anxiety,No impact,Negative Impact
18-10-2023,23,3,3,3,3,3,0,10,4,Female,ALWAYS DISTRACTED,snapchat,streaks making,Yes,Self-conscious,Positive impact,No change
19-10-2023,19,2,2,2,2,2,0,7,4,Male,NOT DISTRACTED,whatsapp,Information sharing,Yes,Anxiety,Positive impact,Positive Impact
20-10-2023,21,2,2,2,2,2,1,7,3,Male,ALWAYS DISTRACTED,Instagram,Enterntainment,Yes,Self-conscious,No impact,Negative Impact
21-10-2023,22,2,2,2,2,2,3,7,1,Male,NOT DISTRACTED,Instagram,reels making,Yes,Demotivate,Positive impact,Negative Impact
22-10-2023,18,2,2,2,2,2,4,7,2,Male,SOMETIMES DISTRACTED,facebook,Making Business,No,Lazy,Positive impact,No change
23-10-2023,17,1,1,1,1,1,2,5,2,Male,SOMETIMES DISTRACTED,snapchat,Enterntainment,Yes,Lonliness,Positive impact,No change
24-10-2023,20,1,1,1,1,1,3,10,4,Male,NOT DISTRACTED,twitter,Quote Sharing,Yes,Inspired,Negative Impact,Negative Impact
25-10-2023,20,3,3,3,3,3,1,7,3,Female,NOT DISTRACTED,snapchat,Enterntainment,Yes,Self-conscious,Negative Impact,Negative Impact
26-10-2023,20,3,3,3,3,3,4,8,4,Male,NOT DISTRACTED,LinkedIn,jobs posting,Yes,Demotivate,Positive impact,No change
27-10-2023,20,2,2,2,2,2,2,7,3,Male,NOT DISTRACTED,Instagram,Making Business,Yes,Anxiety,No impact,No change
28-10-2023,21,2,2,2,2,2,1,7,2,Male,SOMETIMES DISTRACTED,whatsapp,Information sharing,No,Self-conscious,No impact,Negative Impact
29-10-2023,20,3,3,3,3,3,3,7,4,Male,NOT DISTRACTED,LinkedIn,jobs posting,Yes,Demotivate,Positive impact,Negative Impact
30-10-2023,21,4,4,4,4,4,3,5,4,Male,ALWAYS DISTRACTED,Instagram,Enterntainment,Yes,Lazy,Positive impact,No change
31-10-2023,19,2,2,2,2,2,2,7,4,Male,ALWAYS DISTRACTED,facebook,Enterntainment,Yes,Lonliness,Positive impact,No change
01-11-2023,26,2,2,2,2,2,2,7,2,Male,ALWAYS DISTRACTED,twitter,Information sharing,Yes,Inspired,No impact,Negative Impact
02-11-2023,19,2,2,2,2,2,3,7,4,Male,NOT DISTRACTED,snapchat,Enterntainment,Yes,Anxiety,No impact,Negative Impact
03-11-2023,21,2,2,2,2,2,4,7,3,Male,NOT DISTRACTED,LinkedIn,jobs posting,Yes,Lonliness,Positive impact,No change
04-11-2023,23,2,2,2,2,2,2,7,3,Male,ALWAYS DISTRACTED,LinkedIn,Learning,Yes,Self-conscious,Positive impact,No change
05-11-2023,21,2,2,2,2,2,2,5,2,Male,NOT DISTRACTED,facebook,Making Business,Yes,Demotivate,No impact,No change
06-11-2023,22,3,3,3,3,3,2,7,3,Male,SOMETIMES DISTRACTED,twitter,Information sharing,Yes,Lazy,Positive impact,Negative Impact
07-11-2023,45,4,4,4,4,4,2,8,3,Female,NOT DISTRACTED,snapchat,Enterntainment,Yes,Lonliness,No impact,Negative Impact
08-11-2023,23,3,3,3,3,3,2,7,4,Female,NOT DISTRACTED,LinkedIn,jobs posting,Yes,Inspired,Positive impact,No change
09-11-2023,16,2,2,2,2,2,2,7,4,Male,NOT DISTRACTED,LinkedIn,jobs posting,Yes,Anxiety,Positive impact,No change
10-11-2023,21,2,2,2,2,2,3,7,2,Male,NOT DISTRACTED,facebook,Enterntainment,Yes,Lonliness,Positive impact,Negative Impact
11-11-2023,14,2,2,2,2,2,4,7,3,Male,ALWAYS DISTRACTED,twitter,Quote Sharing,No,Self-conscious,Positive impact,Negative Impact
12-11-2023,20,1,1,1,1,1,3,7,3,Male,NOT DISTRACTED,snapchat,Enterntainment,Yes,Demotivate,Positive impact,No change
13-11-2023,21,4,4,4,4,4,2,7,4,Male,NOT DISTRACTED,LinkedIn,Learning,Yes,Lazy,No impact,No change
